index,budget,genres,id,popularity,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count
0,237000000,Action Adventure Fantasy Science Fiction,19995,150.437577,12/10/2009,2787965087,162,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Avatar,7.2,11800
1,300000000,Adventure Fantasy Action,285,139.082615,5/19/2007,961000000,169,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Pirates of the Caribbean: At World's End,6.9,4500
2,245000000,Action Adventure Crime,206647,107.376788,10/26/2015,880674609,148,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Spectre,6.3,4466
3,250000000,Action Crime Drama Thriller,49026,112.31295,7/16/2012,1084939099,165,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Dark Knight Rises,7.6,9106
4,260000000,Action Adventure Science Fiction,49529,43.926995,3/7/2012,284139100,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",John Carter,6.1,2124
5,258000000,Fantasy Action Adventure,559,115.699814,5/1/2007,890871626,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Spider-Man 3,5.9,3576
6,260000000,Animation Family,38757,48.681969,11/24/2010,591794936,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Tangled,7.4,3330
7,280000000,Action Adventure Science Fiction,99861,134.279229,4/22/2015,1405403694,141,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Avengers: Age of Ultron,7.3,6767
8,250000000,Adventure Fantasy Family,767,98.885637,7/7/2009,933959197,153,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Harry Potter and the Half-Blood Prince,7.4,5293
9,250000000,Action Adventure Fantasy,209112,155.790452,3/23/2016,873260194,151,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Batman v Superman: Dawn of Justice,5.7,7004
10,270000000,Adventure Fantasy Action Science Fiction,1452,57.925623,6/28/2006,391081192,154,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Superman Returns,5.4,1400
11,200000000,Adventure Action Thriller Crime,10764,107.928811,10/30/2008,586090727,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Quantum of Solace,6.1,2965
12,200000000,Adventure Fantasy Action,58,145.847379,6/20/2006,1065659812,151,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Pirates of the Caribbean: Dead Man's Chest,7,5246
13,255000000,Action Adventure Western,57201,49.046956,7/3/2013,89289910,149,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Lone Ranger,5.9,2311
14,225000000,Action Adventure Fantasy Science Fiction,49521,99.398009,6/12/2013,662845518,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Man of Steel,6.5,6359
15,225000000,Adventure Family Fantasy,2454,53.978602,5/15/2008,419651413,150,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Chronicles of Narnia: Prince Caspian,6.3,1630
16,220000000,Science Fiction Action Adventure,24428,144.448633,4/25/2012,1519557910,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Avengers,7.4,11776
17,380000000,Adventure Action Fantasy,1865,135.413856,5/14/2011,1045713802,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Pirates of the Caribbean: On Stranger Tides,6.4,4948
18,225000000,Action Comedy Science Fiction,41154,52.035179,5/23/2012,624026776,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Men in Black 3,6.2,4160
19,250000000,Action Adventure Fantasy,122917,120.965743,12/10/2014,956019788,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Hobbit: The Battle of the Five Armies,7.1,4760
20,215000000,Action Adventure Fantasy,1930,89.866276,6/27/2012,752215857,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Amazing Spider-Man,6.5,6586
21,200000000,Action Adventure,20662,37.668301,5/12/2010,310669540,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Robin Hood,6.2,1398
22,250000000,Adventure Fantasy,57158,94.370564,12/11/2013,958400000,161,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Hobbit: The Desolation of Smaug,7.6,4524
23,180000000,Adventure Fantasy,2268,42.990906,12/4/2007,372234864,113,"[{""iso_639_1"": ""is"", ""name"": ""\u00cdslenska""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The Golden Compass,5.8,1303
24,207000000,Adventure Drama Action,254,61.22601,12/14/2005,550000000,187,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",King Kong,6.6,2337
25,200000000,Drama Romance Thriller,597,100.025899,11/18/1997,1845034188,194,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Titanic,7.5,7562
26,250000000,Adventure Action Science Fiction,271110,198.372395,4/27/2016,1153304495,147,"[{""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Captain America: Civil War,7.1,7241
27,209000000,Thriller Action Adventure Science Fiction,44833,64.928382,4/11/2012,303025485,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Battleship,5.5,2114
28,150000000,Action Adventure Science Fiction Thriller,135397,418.708552,6/9/2015,1513528810,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Jurassic World,6.5,8662
29,200000000,Action Adventure Thriller,37724,93.004993,10/25/2012,1108561013,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Skyfall,6.9,7604
30,200000000,Action Adventure Fantasy,558,35.149586,6/25/2004,783766341,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Spider-Man 2,6.7,4321
31,200000000,Action Adventure Science Fiction,68721,77.68208,4/18/2013,1215439994,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Iron Man 3,6.8,8806
32,200000000,Family Fantasy Adventure,12155,78.530105,3/3/2010,1025491110,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Alice in Wonderland,6.4,4645
33,210000000,Adventure Action Science Fiction Thriller,36668,3.857526,5/24/2006,459359555,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",X-Men: The Last Stand,6.3,3525
34,200000000,Animation Family,62211,89.186492,6/20/2013,743559607,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Monsters University,7,3528
35,150000000,Science Fiction Action Adventure,8373,21.939663,6/19/2009,836297228,150,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Transformers: Revenge of the Fallen,6,3138
36,210000000,Science Fiction Action Adventure,91314,116.840296,6/25/2014,1091405097,165,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Transformers: Age of Extinction,5.8,3095
37,200000000,Fantasy Adventure Family,68728,46.985445,3/7/2013,491868548,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Oz: The Great and Powerful,5.7,3530
38,200000000,Action Adventure Fantasy,102382,89.270217,4/16/2014,705717432,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Amazing Spider-Man 2,6.5,4179
39,170000000,Adventure Action Science Fiction,20526,73.79505,12/10/2010,400062763,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",TRON: Legacy,6.3,2841
40,200000000,Animation Family Adventure Comedy,49013,49.98659,6/11/2011,559852396,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Cars 2,5.8,2033
41,200000000,Adventure Action Thriller Science Fiction,44912,51.872839,6/16/2011,219851172,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Green Lantern,5.1,2487
42,200000000,Animation Family Comedy,10193,59.995418,6/16/2010,1066969703,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Toy Story 3,7.6,4597
43,200000000,Action Science Fiction Thriller,534,71.862892,5/20/2009,371353001,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Terminator Salvation,5.9,2463
44,190000000,Action,168259,102.322217,4/1/2015,1506249360,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Furious 7,7.3,4176
45,200000000,Action Drama Horror Science Fiction Thriller,72190,81.834855,6/20/2013,531865000,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",World War Z,6.7,5560
46,250000000,Action Adventure Fantasy Science Fiction,127585,118.078691,5/15/2014,747862775,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",X-Men: Days of Future Past,7.5,6032
47,190000000,Action Adventure Science Fiction,54138,78.291018,5/5/2013,467365246,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Star Trek Into Darkness,7.4,4418
48,195000000,Action Family Fantasy,81005,43.349855,2/27/2013,197687603,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Jack the Giant Slayer,5.5,2598
49,105000000,Drama Romance,64682,61.196071,5/10/2013,351040419,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Great Gatsby,7.3,3769
50,150000000,Adventure Fantasy Action Romance,9543,62.169881,5/19/2010,335154643,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Prince of Persia: The Sands of Time,6.2,2317
51,180000000,Action Science Fiction Adventure,68726,56.523205,7/11/2013,407602906,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Pacific Rim,6.7,4794
52,195000000,Action Science Fiction Adventure,38356,28.529607,6/28/2011,1123746996,154,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Transformers: Dark of the Moon,6.1,3299
53,185000000,Adventure Action,217,75.674458,5/21/2008,786636033,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
54,175000000,Adventure Animation Family,105864,51.692953,11/14/2015,331926147,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Good Dinosaur,6.6,1736
55,185000000,Animation Adventure Comedy Family Action,62177,125.114374,6/21/2012,538983207,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Brave,6.7,4641
56,185000000,Action Adventure Science Fiction,188927,65.352913,7/7/2016,343471816,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Star Trek Beyond,6.6,2568
57,180000000,Animation Family,10681,66.390712,6/22/2008,521311860,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",WALL·E,7.8,6296
58,140000000,Action Comedy Crime Thriller,5174,22.57178,8/8/2007,258022233,91,"[{""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Rush Hour 3,6.1,783
